School_id,Section_id,Teacher_id,Teacher_2_id,Teacher_3_id,Teacher_4_id,Name,Grade,Course_name,Course_number,Period,Term_name,Term_start,Term_end
02M800,605,93,,,,Drama 9 - 100 - M. Paucek (Section 1),9,Drama 9,100,1,Y1,8/1/15,6/1/16
02M800,606,57,,,,Lego Robotics Elective 10 - 001 - G. Waelchi,10,Lego Robotics Elective 10,1,4,Y1,8/1/15,6/1/16
02M800,607,71,,,,Vocal Music 10 - 002 - J. Roderick (Section 2),10,Vocal Music 10,2,4,Y1,8/1/15,6/1/16
02M800,608,72,,,,Instrumental Music 10 - 003 - J. Coulton,10,Instrumental Music 10,3,4,Y1,8/1/15,6/1/16
02M800,609,72,,,,Musical Theatre Elective 10 - 004 - J. Coulton,10,Musical Theatre Elective 10,4,4,Y1,8/1/15,6/1/16
02M800,610,77,,,,Drawing - 005 - R. Plant (Section 5),10,Drawing,5,4,Y1,8/1/15,6/1/16
02M800,611,79,,,,Web Development Elective - 006 - L. Ray,10,Web Development Elective,6,4,Y1,8/1/15,6/1/16
02M800,612,47,,,,Newspaper Publishing 11 - 001 - B. Glover,11,Newspaper Publishing 11,1,5,Y1,8/1/15,6/1/16
02M800,613,71,,,,Chorus 11 - 002 - J. Roderick (Section 2),11,Chorus 11,2,5,Y1,8/1/15,6/1/16
02M800,614,72,,,,Instrumental Music 11 - 003 - J. Coulton,11,Instrumental Music 11,3,5,Y1,8/1/15,6/1/16
02M800,615,93,,,,Musical Theatre Elective - 004 - M. Paucek,11,Musical Theatre Elective,4,5,Y1,8/1/15,6/1/16
02M800,616,77,,,,Introduction to Architecture - 005 - R. Plant,11,Introduction to Architecture,5,5,Y1,8/1/15,6/1/16
02M800,617,79,,,,Introduction to Ruby on Rails - 006 - L. Ray,11,Introduction to Ruby on Rails,6,5,Y1,8/1/15,6/1/16
02M800,618,49,,,,Newspaper Publishing 12 - 002 - S. Trantow,12,Newspaper Publishing 12,2,6,Y1,8/1/15,6/1/16
02M800,619,50,,,,Yearbook - 003 - R. Doyle (Section 3),12,Yearbook,3,6,Y1,8/1/15,6/1/16
02M800,620,72,,,,Instrumental Music 12 - 004 - J. Coulton,12,Instrumental Music 12,4,6,Y1,8/1/15,6/1/16
02M800,621,93,,,,Stage Crew - 005 - M. Paucek (Section 5),12,Stage Crew,5,6,Y1,8/1/15,6/1/16
02M800,622,76,,,,Chorus 12 - 006 - R. Gadsby (Section 6),12,Chorus 12,6,6,Y1,8/1/15,6/1/16
02M800,623,78,,,,Public Works - 007 - J. Page (Section 7),12,Public Works,7,6,Y1,8/1/15,6/1/16
27Q321,624,28,,,,Drama Elective - 611 - E. Wuckert (Section 1),6,Drama Elective,611,6,S1,8/1/15,6/1/16
27Q321,625,29,,,,Musical Theatre Elective - 618 - Z. Hand,6,Musical Theatre Elective,618,6,S2,8/1/15,6/1/16
27Q321,626,30,,,,Creative Writing Elective - 610 - J. Schneider,6,Creative Writing Elective,610,6,S1,8/1/15,6/1/16
27Q321,627,34,,,,Journalism Elective - 615 - P. Mohr (Section 1),6,Journalism Elective,615,6,S1,8/1/15,6/1/16
27Q321,628,35,,,,Film Elective - 613 - G. Gleichner (Section 1),6,Film Elective,613,6,S1,8/1/15,6/1/16
27Q321,629,40,,,,Lego Robotics Elective - 617 - C. Ankunding,6,Lego Robotics Elective,617,6,S2,8/1/15,6/1/16
27Q321,630,41,,,,Latin Dance Elective - 616 - C. Gleichner,6,Latin Dance Elective,616,6,S2,8/1/15,6/1/16
27Q321,631,42,,,,School Beautification Elective - 619 - J. Doyle,6,School Beautification Elective,619,6,S2,8/1/15,6/1/16
27Q321,632,44,,,,Set Design Elective - 620 - A. Ortiz (Section 1),6,Set Design Elective,620,6,S2,8/1/15,6/1/16
27Q321,633,45,,,,Film Crew Elective - 612 - V. Konopelski,6,Film Crew Elective,612,6,S1,8/1/15,6/1/16
27Q321,634,46,,,,Web Design Elective - 621 - T. Schultz (Section 1),6,Web Design Elective,621,6,S2,8/1/15,6/1/16
27Q321,635,65,,,,Fitness Elective - 614 - K. Ritchie (Section 1),6,Fitness Elective,614,6,S1,8/1/15,6/1/16
02M800,636,71,,,,Vocal Music 9 - 001 - J. Roderick (Section 1),9,Vocal Music 9,1,3,Y1,8/1/15,6/1/16
02M800,637,72,,,,Instrumental Music 9 - 002 - J. Coulton,9,Instrumental Music 9,2,3,Y1,8/1/15,6/1/16
02M800,638,76,,,,Key Club - 003 - R. Gadsby (Section 3),9,Key Club,3,3,Y1,8/1/15,6/1/16
02M800,639,78,,,,Sculpture - 004 - J. Page (Section 4),9,Sculpture,4,3,Y1,8/1/15,6/1/16
02M800,640,46,,,,Introduction to Web Design - 005 - T. Schultz,9,Introduction to Web Design,5,3,Y1,8/1/15,6/1/16
02M800,641,79,,,,Lego Robotics Elective 9 - 006 - L. Ray,9,Lego Robotics Elective 9,6,3,Y1,8/1/15,6/1/16
02M800,642,48,,,,Tenth Grade English - 201 - H. Hauck (Section 1),10,Tenth Grade English,201,7,Y1,8/1/15,6/1/16
02M800,643,48,,,,Tenth Grade English - 201 - H. Hauck (Section 2),10,Tenth Grade English,201,7,Y1,8/1/15,6/1/16
02M800,644,48,,,,Tenth Grade English - 201 - H. Hauck (Section 3),10,Tenth Grade English,201,7,Y1,8/1/15,6/1/16
02M800,645,4,,,,Tenth Grade English (Honors) - 202 - B. Daniel,10,Tenth Grade English (Honors),202,7,Y1,8/1/15,6/1/16
02M800,646,4,,,,"English Remediation, Grade 10 - 205 - B. Daniel",10,"English Remediation, Grade 10",205,9,Y1,8/1/15,6/1/16
02M800,647,49,,,,Expository Writing - 300 - S. Trantow (Section 1),11,Expository Writing,300,6,Y1,8/1/15,6/1/16
02M800,648,49,,,,Expository Writing - 300 - S. Trantow (Section 2),11,Expository Writing,300,6,Y1,8/1/15,6/1/16
02M800,649,49,,,,Expository Writing - 300 - S. Trantow (Section 3),11,Expository Writing,300,6,Y1,8/1/15,6/1/16
02M800,650,49,,,,AP English Language and Composition - 304 - S. Trantow,11,AP English Language and Composition,304,6,Y1,8/1/15,6/1/16
02M800,651,4,,,,AP English Language and Composition - 304 - B. Daniel,11,AP English Language and Composition,304,6,Y1,8/1/15,6/1/16
02M800,652,4,,,,"English Remediation, Grade 11 - 305 - B. Daniel",11,"English Remediation, Grade 11",305,9,Y1,8/1/15,6/1/16
02M800,653,50,,,,American Literature - 401 - R. Doyle (Section 1),12,American Literature,401,8,Y1,8/1/15,6/1/16
02M800,654,50,,,,American Literature - 401 - R. Doyle (Section 2),12,American Literature,401,8,Y1,8/1/15,6/1/16
02M800,655,4,,,,AP English Literature and Composition - 009 - B. Daniel,12,AP English Literature and Composition,9,8,Y1,8/1/15,6/1/16
02M800,657,4,,,,"English Remediation, Grade 12 - 405 - B. Daniel",12,"English Remediation, Grade 12",405,9,Y1,8/1/15,6/1/16
27Q321,658,28,29,,,"English, Class 601 - 601 - E. Wuckert (Section 1)",6,"English, Class 601",601,1,Y1,8/1/15,6/1/16
27Q321,659,28,29,,,"English, Class 602 - 602 - E. Wuckert (Section 2)",6,"English, Class 602",602,1,Y1,8/1/15,6/1/16
27Q321,660,28,29,,,"English, Class 603 - 603 - E. Wuckert (Section 3)",6,"English, Class 603",603,1,Y1,8/1/15,6/1/16
27Q321,661,29,28,,,"English, Class 701 - 701 - Z. Hand (Section 1)",7,"English, Class 701",701,2,Y1,8/1/15,6/1/16
27Q321,662,29,28,,,"English, Class 702 - 702 - Z. Hand (Section 2)",7,"English, Class 702",702,2,Y1,8/1/15,6/1/16
27Q321,663,29,28,,,"English, Class 703 - 703 - Z. Hand (Section 3)",7,"English, Class 703",703,2,Y1,8/1/15,6/1/16
27Q321,664,30,,,,"English, Class 801 - 801 - J. Schneider",8,"English, Class 801",801,8,Y1,8/1/15,6/1/16
27Q321,665,30,,,,"English, Class 802 - 802 - J. Schneider",8,"English, Class 802",802,8,Y1,8/1/15,6/1/16
27Q321,666,30,,,,"English, Class 803 - 803 - J. Schneider",8,"English, Class 803",803,8,Y1,8/1/15,6/1/16
02M800,667,47,4,,,Ninth Grade English - 101 - B. Glover (Section 1),9,Ninth Grade English,101,5,Y1,8/1/15,6/1/16
02M800,668,47,4,,,Ninth Grade English - 101 - B. Glover (Section 2),9,Ninth Grade English,101,5,Y1,8/1/15,6/1/16
02M800,669,47,4,,,Ninth Grade English - 101 - B. Glover (Section 3),9,Ninth Grade English,101,5,Y1,8/1/15,6/1/16
02M800,670,4,,,,Ninth Grade English (Honors) - 102 - B. Daniel,9,Ninth Grade English (Honors),102,5,Y1,8/1/15,6/1/16
02M800,671,4,,,,"English Remediation, Grade 9 - 105 - B. Daniel",9,"English Remediation, Grade 9",105,9,Y1,8/1/15,6/1/16
27Q321,672,44,,,,"Fine Arts, Class 701 - 701 - A. Ortiz (Section 1)",7,"Fine Arts, Class 701",701,7,Y1,8/1/15,6/1/16
27Q321,673,44,,,,"Fine Arts, Class 702 - 702 - A. Ortiz (Section 2)",7,"Fine Arts, Class 702",702,7,Y1,8/1/15,6/1/16
27Q321,674,44,,,,"Fine Arts, Class 703 - 703 - A. Ortiz (Section 3)",7,"Fine Arts, Class 703",703,7,Y1,8/1/15,6/1/16
27Q321,675,44,,,,"Fine Arts, Class 801 - 801 - A. Ortiz (Section 1)",8,"Fine Arts, Class 801",801,1,Y1,8/1/15,6/1/16
27Q321,676,44,,,,"Fine Arts, Class 802 - 802 - A. Ortiz (Section 2)",8,"Fine Arts, Class 802",802,1,Y1,8/1/15,6/1/16
27Q321,677,44,,,,"Fine Arts, Class 803 - 803 - A. Ortiz (Section 3)",8,"Fine Arts, Class 803",803,1,Y1,8/1/15,6/1/16
02M800,678,59,,,,French II - 201 - G. Gorczany (Section 1),10,French II,201,3,Y1,8/1/15,6/1/16
02M800,679,59,,,,French III - 301 - G. Gorczany (Section 1),11,French III,301,2,Y1,8/1/15,6/1/16
02M800,680,59,,,,French IV - 401 - G. Gorczany (Section 1),12,French IV,401,1,Y1,8/1/15,6/1/16
02M800,681,59,,,,French I - 101 - G. Gorczany (Section 1),9,French I,101,9,Y1,8/1/15,6/1/16
02M800,682,75,,,,Health - 201 - P. McCartney (Section 1),10,Health,201,1,Y1,8/1/15,6/1/16
02M800,683,75,,,,Health - 202 - P. McCartney (Section 2),10,Health,202,1,Y1,8/1/15,6/1/16
02M800,684,75,,,,Health - 203 - P. McCartney (Section 3),10,Health,203,1,Y1,8/1/15,6/1/16
02M800,685,75,,,,Driver's Education - 300 - P. McCartney (Section 1),11,Driver's Education,300,1,Y1,8/1/15,6/1/16
02M800,686,75,,,,Driver's Education - 300 - P. McCartney (Section 2),11,Driver's Education,300,1,Y1,8/1/15,6/1/16
02M800,687,75,,,,Driver's Education - 300 - P. McCartney (Section 3),11,Driver's Education,300,1,Y1,8/1/15,6/1/16
02M800,688,53,,,,Global History - 201 - R. Emard (Section 1),10,Global History,201,5,Y1,8/1/15,6/1/16
02M800,689,53,,,,Global History - 201 - R. Emard (Section 2),10,Global History,201,5,Y1,8/1/15,6/1/16
02M800,690,53,,,,Global History - 201 - R. Emard (Section 3),10,Global History,201,5,Y1,8/1/15,6/1/16
02M800,691,8,,,,"Global History, Honors - 202 - J. Doyle",10,"Global History, Honors",202,5,Y1,8/1/15,6/1/16
02M800,692,8,,,,"History Remediation, Grade 10 - 205 - J. Doyle",10,"History Remediation, Grade 10",205,9,Y1,8/1/15,6/1/16
02M800,693,52,,,,U.S. Government and Politics - 300 - K. Witting (Section 1),11,U.S. Government and Politics,300,4,Y1,8/1/15,6/1/16
02M800,694,52,,,,U.S. Government and Politics - 300 - K. Witting (Section 2),11,U.S. Government and Politics,300,4,Y1,8/1/15,6/1/16
02M800,695,52,,,,U.S. Government and Politics - 300 - K. Witting (Setion 3),11,U.S. Government and Politics,300,4,Y1,8/1/15,6/1/16
02M800,696,8,,,,"U.S. Government and Politics, Honors",11,"U.S. Government and Politics, Honors",301,4,Y1,8/1/15,6/1/16
02M800,697,8,,,,"History Remediation, Grade 11 - 305 - J. Doyle",11,"History Remediation, Grade 11",305,9,Y1,8/1/15,6/1/16
02M800,698,51,,,,Contemporary History - 401 - P. Lemke (Section 1),12,Contemporary History,401,5,Y1,8/1/15,6/1/16
02M800,699,51,,,,Contemporary History - 401 - P. Lemke (Section 2),12,Contemporary History,401,5,Y1,8/1/15,6/1/16
02M800,700,51,,,,Contemporary History - 401 - P. Lemke (Section 3),12,Contemporary History,401,5,Y1,8/1/15,6/1/16
02M800,701,8,,,,AP Government and Politics - 402 - J. Doyle,12,AP Government and Politics,402,5,Y1,8/1/15,6/1/16
02M800,702,8,,,,"History Remediation, Grade 12 - 405 - J. Doyle",12,"History Remediation, Grade 12",405,9,Y1,8/1/15,6/1/16
02M800,703,54,,,,U.S. History - 101 - C. Block (Section 1),9,U.S. History,101,2,Y1,8/1/15,6/1/16
02M800,704,54,,,,U.S. History - 101 - C. Block (Section 2),9,U.S. History,101,2,Y1,8/1/15,6/1/16
02M800,705,54,,,,U.S. History - 101 - C. Block (Section 3),9,U.S. History,101,2,Y1,8/1/15,6/1/16
02M800,706,8,,,,"U.S. History, Honors - 102 - J. Doyle (Section 4)",9,"U.S. History, Honors",102,2,Y1,8/1/15,6/1/16
02M800,707,8,,,,"History Remediation, Grade 9 - 105 - J. Doyle",9,"History Remediation, Grade 9",105,9,Y1,8/1/15,6/1/16
13K123,708,68,1,,,"Class 001, Homeroom - 001 - H. Willms (Section 1)",0,"Class 001, Homeroom",1,0,Y1,8/1/15,6/1/16
13K123,709,69,1,,,"Class 002, Homeroom - 002 - S. Schoen (Section 2)",0,"Class 002, Homeroom",2,0,Y1,8/1/15,6/1/16
13K123,710,70,1,,,"Class 003, Homeroom - 003 - J. Stark (Section 3)",0,"Class 003, Homeroom",3,0,Y1,8/1/15,6/1/16
13K123,711,1,1,,,"Class 101, Homeroom - 101 - H. Hahn (Section 1)",1,"Class 101, Homeroom",101,0,Y1,8/1/15,6/1/16
02M800,712,48,1,,,"Class 101, Homeroom - 101 - H. Hauck (Section 1)",10,"Class 101, Homeroom",101,0,Y1,8/1/15,6/1/16
02M800,713,53,1,,,"Class 102, Homeroom - 102 - R. Emard (Section 2)",10,"Class 102, Homeroom",102,0,Y1,8/1/15,6/1/16
02M800,714,56,1,,,"Class 103, Homeroom - 103 - G. Crooks (Section 3)",10,"Class 103, Homeroom",103,0,Y1,8/1/15,6/1/16
02M800,715,49,1,,,"Class 111, Homeroom - 111 - S. Trantow (Section 1)",11,"Class 111, Homeroom",111,0,Y1,8/1/15,6/1/16
02M800,716,52,1,,,"Class 112, Homeroom - 112 - K. Witting (Section 2)",11,"Class 112, Homeroom",112,0,Y1,8/1/15,6/1/16
02M800,717,57,1,,,"Class 113, Homeroom - 113 - G. Waelchi (Section 3)",11,"Class 113, Homeroom",113,0,Y1,8/1/15,6/1/16
13K123,718,2,1,,,"Class 102, Homeroom - 102 - E. Harris (Section 2)",1,"Class 102, Homeroom",102,0,Y1,8/1/15,6/1/16
02M800,719,50,1,,,"Class 121, Homeroom - 121 - R. Doyle (Section 1)",12,"Class 121, Homeroom",121,0,Y1,8/1/15,6/1/16
02M800,720,51,,,,"Class 122, Homeroom - 122 - P. Lemke (Section 2)",12,"Class 122, Homeroom",122,0,Y1,8/1/15,6/1/16
02M800,721,63,,,,"Class 123, Homeroom - 123 - R. Will (Section 3)",12,"Class 123, Homeroom",123,0,Y1,8/1/15,6/1/16
13K123,722,3,,,,"Class 103, Homeroom - 103 - R. Prosacco",1,"Class 103, Homeroom",103,0,Y1,8/1/15,6/1/16
13K123,723,5,,,,"Class 201, Homeroom - 201 - C. Hammes (Section 1)",2,"Class 201, Homeroom",201,0,Y1,8/1/15,6/1/16
13K123,724,6,,,,"Class 202, Homeroom - 202 - A. Jones (Section 2)",2,"Class 202, Homeroom",202,0,Y1,8/1/15,6/1/16
13K123,725,7,,,,"Class 203, Homeroom - 203 - M. Jakubowski",2,"Class 203, Homeroom",203,0,Y1,8/1/15,6/1/16
13K123,726,9,,,,"Class 301, Homeroom - 301 - S. Block (Section 1)",3,"Class 301, Homeroom",301,0,Y1,8/1/15,6/1/16
13K123,727,10,,,,"Class 302, Homeroom - 302 - L. Abernathy",3,"Class 302, Homeroom",302,0,Y1,8/1/15,6/1/16
13K123,728,11,,,,"Class 303, Homeroom - 303 - L. Spinka (Section 3)",3,"Class 303, Homeroom",303,0,Y1,8/1/15,6/1/16
13K123,729,13,,,,"Class 401, Homeroom - 401 - J. Mertz (Section 1)",4,"Class 401, Homeroom",401,0,Y1,8/1/15,6/1/16
13K123,730,14,,,,"Class 402, Homeroom - 402 - E. Ruecker (Section 2)",4,"Class 402, Homeroom",402,0,Y1,8/1/15,6/1/16
13K123,731,15,,,,"Class 403, Homeroom - 403 - E. Oberbrunner",4,"Class 403, Homeroom",403,0,Y1,8/1/15,6/1/16
13K123,732,17,,,,"Class 501, Homeroom - 501 - N. Bartoletti",5,"Class 501, Homeroom",501,0,Y1,8/1/15,6/1/16
13K123,733,18,,,,"Class 502, Homeroom - 502 - M. Walsh (Section 2)",5,"Class 502, Homeroom",502,0,Y1,8/1/15,6/1/16
13K123,734,19,,,,"Class 503, Homeroom - 503 - D. Raynor (Section 3)",5,"Class 503, Homeroom",503,0,Y1,8/1/15,6/1/16
27Q321,735,27,,,,"Class 601, Homeroom - 601 - R. Paucek (Section 1)",6,"Class 601, Homeroom",601,0,Y1,8/1/15,6/1/16
27Q321,736,28,,,,"Class 602, Homeroom - 602 - E. Wuckert (Section 2)",6,"Class 602, Homeroom",602,0,Y1,8/1/15,6/1/16
27Q321,737,31,,,,"Class 603, Homeroom - 603 - B. Goldner (Section 3)",6,"Class 603, Homeroom",603,0,Y1,8/1/15,6/1/16
27Q321,738,29,,,,"Class 701, Homeroom - 701 - Z. Hand (Section 1)",7,"Class 701, Homeroom",701,0,Y1,8/1/15,6/1/16
27Q321,739,32,,,,"Class 702, Homeroom - 702 - S. Connelly",7,"Class 702, Homeroom",702,0,Y1,8/1/15,6/1/16
27Q321,740,35,,,,"Class 703, Homeroom - 703 - G. Gleichner",7,"Class 703, Homeroom",703,0,Y1,8/1/15,6/1/16
27Q321,741,30,,,,"Class 801, Homeroom - 801 - J. Schneider",8,"Class 801, Homeroom",801,0,Y1,8/1/15,6/1/16
27Q321,742,33,,,,"Class 802, Homeroom - 802 - R. Conn (Section 2)",8,"Class 802, Homeroom",802,0,Y1,8/1/15,6/1/16
27Q321,743,36,,,,"Class 803, Homeroom - 803 - C. Daniel (Section 3)",8,"Class 803, Homeroom",803,0,Y1,8/1/15,6/1/16
02M800,744,47,,,,"Class 901, Homeroom - 901 - B. Glover (Section 1)",9,"Class 901, Homeroom",901,0,Y1,8/1/15,6/1/16
02M800,745,54,,,,"Class 902, Homeroom - 902 - C. Block (Section 2)",9,"Class 902, Homeroom",902,0,Y1,8/1/15,6/1/16
02M800,746,55,,,,"Class 903, Homeroom - 903 - J. Mertz (Section 3)",9,"Class 903, Homeroom",903,0,Y1,8/1/15,6/1/16
13K123,747,68,,,,"Kindergarten Math, Class 001 - 001 - H. Willms",0,"Kindergarten Math, Class 001",1,2,Y1,8/1/15,6/1/16
13K123,748,69,,,,"Kindergarten Math, Class 002 - 002 - S. Schoen",0,"Kindergarten Math, Class 002",2,1,Y1,8/1/15,6/1/16
13K123,749,70,,,,"Kindergarten Math, Class 003 - 003 - J. Stark",0,"Kindergarten Math, Class 003",3,3,Y1,8/1/15,6/1/16
02M800,750,61,,,,Geometry - 201 - C. Bashirian (Section 1),10,Geometry,201,6,Y1,8/1/15,6/1/16
02M800,751,61,,,,Geometry - 201 - C. Bashirian (Section 2),10,Geometry,201,6,Y1,8/1/15,6/1/16
02M800,752,61,,,,Geometry - 201 - C. Bashirian (Section 3),10,Geometry,201,6,Y1,8/1/15,6/1/16
02M800,753,12,,,,"Geometry, Honors - 202 - D. Runte (Section 4)",10,"Geometry, Honors",202,6,Y1,8/1/15,6/1/16
02M800,754,12,,,,"Mathematics Remediation, Grade 10 - 205 - D. Runte",10,"Mathematics Remediation, Grade 10",205,9,Y1,8/1/15,6/1/16
13K123,755,1,,,,"Grade 1 Math, Class 101 - 101 - H. Hahn",1,"Grade 1 Math, Class 101",101,2,Y1,8/1/15,6/1/16
02M800,756,62,,,,Algebra II / Trigonometry - 300 - C. Wolff (Section 1),11,Algebra II / Trigonometry,300,3,Y1,8/1/15,6/1/16
02M800,757,62,,,,Algebra II / Trigonometry - 300 - C. Wolff (Section 2),11,Algebra II / Trigonometry,300,4,Y1,8/1/15,6/1/16
02M800,758,12,,,,Calculus I - 302 - D. Runte (Section 4),11,Calculus I,302,3,Y1,8/1/15,6/1/16
02M800,759,62,,,,Pre-Calculus - 301 - C. Wolff (Section 5),11,Pre-Calculus,301,3,Y1,8/1/15,6/1/16
02M800,760,20,,,,"Mathematics Remediation, Grade 11 - 305 - M. Kulas",11,"Mathematics Remediation, Grade 11",305,9,Y1,8/1/15,6/1/16
13K123,761,2,,,,"Grade 1 Math, Class 102 - 102 - E. Harris",1,"Grade 1 Math, Class 102",102,1,Y1,8/1/15,6/1/16
02M800,762,62,,,,College Statistics - 402 - C. Wolff (Section 1),12,College Statistics,402,4,Y1,8/1/15,6/1/16
02M800,763,63,,,,Calculus II - 401 - R. Will (Section 2),12,Calculus II,401,4,Y1,8/1/15,6/1/16
02M800,764,63,,,,AP Calculus - 403 - R. Will (Section 3),12,AP Calculus,403,4,Y1,8/1/15,6/1/16
02M800,765,12,,,,AP Statistics - 404 - D. Runte (Section 4),12,AP Statistics,404,4,Y1,8/1/15,6/1/16
02M800,766,20,,,,"Mathematics Remediation, Grade 12 - 405 - M. Kulas",12,"Mathematics Remediation, Grade 12",405,9,Y1,8/1/15,6/1/16
13K123,767,3,,,,"Grade 1 Math, Class 103 - 103 - R. Prosacco",1,"Grade 1 Math, Class 103",103,3,Y1,8/1/15,6/1/16
13K123,768,5,,,,"Grade 2 Math, Class 201 - 201 - C. Hammes",2,"Grade 2 Math, Class 201",201,3,Y1,8/1/15,6/1/16
13K123,769,6,,,,"Grade 2 Math, Class 202 - 202 - A. Jones",2,"Grade 2 Math, Class 202",202,3,Y1,8/1/15,6/1/16
13K123,770,7,,,,"Grade 2 Math, Class 203 - 203 - M. Jakubowski",2,"Grade 2 Math, Class 203",203,5,Y1,8/1/15,6/1/16
13K123,771,9,,,,"Grade 3 Math, Class 301 - 301 - S. Block",3,"Grade 3 Math, Class 301",301,5,Y1,8/1/15,6/1/16
13K123,772,10,,,,"Grade 3 Math, Class 302 - 302 - L. Abernathy",3,"Grade 3 Math, Class 302",302,5,Y1,8/1/15,6/1/16
13K123,773,11,,,,"Grade 3 Math, Class 303 - 303 - L. Spinka",3,"Grade 3 Math, Class 303",303,5,Y1,8/1/15,6/1/16
13K123,774,13,,,,"Grade 4 Math, Class 401 - 401 - J. Mertz",4,"Grade 4 Math, Class 401",401,3,Y1,8/1/15,6/1/16
13K123,775,14,,,,"Grade 4 Math, Class 402 - 402 - E. Ruecker",4,"Grade 4 Math, Class 402",402,1,Y1,8/1/15,6/1/16
13K123,776,15,,,,"Grade 4 Math, Class 403 - 403 - E. Oberbrunner",4,"Grade 4 Math, Class 403",403,3,Y1,8/1/15,6/1/16
13K123,777,17,,,,"Grade 5 Math, Class 501 - 501 - N. Bartoletti",5,"Grade 5 Math, Class 501",501,1,Y1,8/1/15,6/1/16
13K123,778,18,,,,"Grade 5 Math, Class 502 - 502 - M. Walsh",5,"Grade 5 Math, Class 502",502,4,Y1,8/1/15,6/1/16
13K123,779,19,,,,"Grade 5 Math, Class 503 - 503 - D. Raynor",5,"Grade 5 Math, Class 503",503,1,Y1,8/1/15,6/1/16
27Q321,780,31,32,33,,"Mathematics, Class 601 - 601 - B. Goldner",6,"Mathematics, Class 601",601,3,Y1,8/1/15,6/1/16
27Q321,781,31,32,33,,"Mathematics, Class 602 - 602 - B. Goldner",6,"Mathematics, Class 602",602,3,Y1,8/1/15,6/1/16
27Q321,782,31,32,33,,"Mathematics, Class 603 - 603 - B. Goldner",6,"Mathematics, Class 603",603,3,Y1,8/1/15,6/1/16
27Q321,783,32,31,33,,"Mathematics, Class 701 - 701 - S. Connelly",7,"Mathematics, Class 701",701,5,Y1,8/1/15,6/1/16
27Q321,784,32,31,33,,"Mathematics, Class 702 - 702 - S. Connelly",7,"Mathematics, Class 702",702,5,Y1,8/1/15,6/1/16
